Thread:  91 Dequeued Item:  1081 At Time: Dec 07,2015 21:36:12 
Thread:  92 Pushed Item:    1259 At Time: Dec 07,2015 21:36:12 
Thread:  93 Dequeued Item:  1259 At Time: Dec 07,2015 21:36:12 
Thread:  94 Pushed Item:    1198 At Time: Dec 07,2015 21:36:12 
Thread:  95 Dequeued Item:  1198 At Time: Dec 07,2015 21:36:12 
Thread:  96 Pushed Item:     824 At Time: Dec 07,2015 21:36:12 
Thread:  97 Dequeued Item:   824 At Time: Dec 07,2015 21:36:12 
Thread:  98 Pushed Item:     971 At Time: Dec 07,2015 21:36:12 
Thread:  99 Dequeued Item:   971 At Time: Dec 07,2015 21:36:12 
Thread: 100 Pushed Item:    1013 At Time: Dec 07,2015 21:36:12 
Thread: 101 Dequeued Item:  1013 At Time: Dec 07,2015 21:36:12 
Thread: 102 Enqueued Item:   847 At Time: Dec 07,2015 21:36:12 
Thread: 103 Dequeued Item:   847 At Time: Dec 07,2015 21:36:12 
Thread: 104 Pushed Item:    1040 At Time: Dec 07,2015 21:36:12 
Thread: 105 Dequeued Item:  1040 At Time: Dec 07,2015 21:36:12 
Thread: 107 Enqueued Item:   894 At Time: Dec 07,2015 21:36:12 
Thread: 108 Dequeued Item:   954 At Time: Dec 07,2015 21:36:12 
Thread: 109 Dequeued Item:   894 At Time: Dec 07,2015 21:36:12 
Thread: 110 Enqueued Item:   917 At Time: Dec 07,2015 21:36:12 
Thread: 111 Dequeued Item:   917 At Time: Dec 07,2015 21:36:12 
Thread: 112 Pushed Item:     970 At Time: Dec 07,2015 21:36:12 
Thread: 113 Dequeued Item:   970 At Time: Dec 07,2015 21:36:12 
Thread: 114 Enqueued Item:   932 At Time: Dec 07,2015 21:36:12 
Thread: 115 Dequeued Item:   932 At Time: Dec 07,2015 21:36:12 
Thread: 116 Pushed Item:    1169 At Time: Dec 07,2015 21:36:12 
Thread: 117 Dequeued Item:  1169 At Time: Dec 07,2015 21:36:12 
Thread: 118 Enqueued Item:  1009 At Time: Dec 07,2015 21:36:12 
